Kind,Number,Subject,Style,BaselineAlarm,OptimizedAlarm,BaselineSeconds,OptimizedSeconds,DecisionShapeRatio,DecisionFlushRatio,PublicationStatus
flush,1,unknown,flush,1,0,38.0,NaN,0.418367,0.448980,published
flush,2,unknown,flush,1,0,33.8,NaN,0.140704,0.542714,published
flush,3,unknown,flush,1,0,36.6,NaN,0.330000,0.445000,published
flush,4,unknown,flush,0,0,NaN,NaN,NaN,NaN,published
flush,5,unknown,flush,1,0,34.2,NaN,0.256281,0.386935,published
flush,6,unknown,flush,1,0,32.6,NaN,0.180000,0.530000,published
flush,7,unknown,flush,1,0,33.6,NaN,0.170000,0.525000,published
flush,8,unknown,flush,0,0,NaN,NaN,NaN,NaN,published
flush,9,unknown,flush,0,0,NaN,NaN,NaN,NaN,published
flush,10,unknown,flush,1,0,45.3,NaN,0.217172,0.434343,published
flush,11,unknown,flush,0,0,NaN,NaN,NaN,NaN,published
flush,12,unknown,flush,0,0,NaN,NaN,NaN,NaN,published
fall,1,HT,direct,1,1,26.6,26.6,0.872340,0,published
fall,2,HT,walk,1,1,32.5,32.5,0.791444,0,published
fall,3,TF,direct,1,1,23.2,23.2,0.818792,0,published
fall,4,TF,walk,1,1,26.0,26.0,0.773585,0,published
fall,5,YQ,direct,1,1,25.5,25.5,0.699346,0,published
fall,6,YQ,walk,1,1,27.8,27.8,0.729167,0,published
